$ ./trec_eval -q qrels_covid.txt  graph.txt
P_20                    Q30     0.7000
P_30                    Q30     0.6333
P_100                   Q30     0.4200
P_200                   Q30     0.2800
P_500                   Q30     0.2380
P_1000                  Q30     0.2580
num_ret                 Q31     1000
num_rel                 Q31     353
num_rel_ret             Q31     48
map                     Q31     0.0174
Rprec                   Q31     0.0935
bpref                   Q31     0.0893
recip_rank              Q31     0.3333
iprec_at_recall_0.00    Q31     0.3333
iprec_at_recall_0.10    Q31     0.0833
iprec_at_recall_0.20    Q31     0.0000
iprec_at_recall_0.30    Q31     0.0000
iprec_at_recall_0.40    Q31     0.0000
iprec_at_recall_0.50    Q31     0.0000
iprec_at_recall_0.60    Q31     0.0000
iprec_at_recall_0.70    Q31     0.0000
iprec_at_recall_0.80    Q31     0.0000
iprec_at_recall_0.90    Q31     0.0000
iprec_at_recall_1.00    Q31     0.0000
P_5                     Q31     0.2000
P_10                    Q31     0.2000
P_15                    Q31     0.2667
P_20                    Q31     0.2500
P_30                    Q31     0.1667
P_100                   Q31     0.1200
P_200                   Q31     0.1200
P_500                   Q31     0.0760
P_1000                  Q31     0.0480
num_ret                 Q32     1000
num_rel                 Q32     216
num_rel_ret             Q32     17
map                     Q32     0.0064
Rprec                   Q32     0.0231
bpref                   Q32     0.0233
recip_rank              Q32     0.2500
iprec_at_recall_0.00    Q32     0.4000
iprec_at_recall_0.10    Q32     0.0000
iprec_at_recall_0.20    Q32     0.0000
iprec_at_recall_0.30    Q32     0.0000
iprec_at_recall_0.40    Q32     0.0000
iprec_at_recall_0.50    Q32     0.0000
iprec_at_recall_0.60    Q32     0.0000
iprec_at_recall_0.70    Q32     0.0000
iprec_at_recall_0.80    Q32     0.0000
iprec_at_recall_0.90    Q32     0.0000
iprec_at_recall_1.00    Q32     0.0000
P_5                     Q32     0.4000
P_10                    Q32     0.2000
P_15                    Q32     0.1333
P_20                    Q32     0.1500
P_30                    Q32     0.1333
P_100                   Q32     0.0500
P_200                   Q32     0.0250
P_500                   Q32     0.0240
P_1000                  Q32     0.0170
num_ret                 Q33     1000
num_rel                 Q33     281
num_rel_ret             Q33     138
map                     Q33     0.1355
Rprec                   Q33     0.2705
bpref                   Q33     0.2665
recip_rank              Q33     0.3333
iprec_at_recall_0.00    Q33     0.4407
iprec_at_recall_0.10    Q33     0.4286
iprec_at_recall_0.20    Q33     0.3373
iprec_at_recall_0.30    Q33     0.2335
iprec_at_recall_0.40    Q33     0.1454
iprec_at_recall_0.50    Q33     0.0000
iprec_at_recall_0.60    Q33     0.0000
iprec_at_recall_0.70    Q33     0.0000
iprec_at_recall_0.80    Q33     0.0000
iprec_at_recall_0.90    Q33     0.0000
iprec_at_recall_1.00    Q33     0.0000
P_5                     Q33     0.2000
P_10                    Q33     0.1000
P_15                    Q33     0.2000
P_20                    Q33     0.3500
P_30                    Q33     0.4333
P_100                   Q33     0.3900
P_200                   Q33     0.3200
P_500                   Q33     0.1780
P_1000                  Q33     0.1380
num_ret                 Q34     1000
num_rel                 Q34     172
num_rel_ret             Q34     38
map                     Q34     0.0179
Rprec                   Q34     0.0930
bpref                   Q34     0.1169
recip_rank              Q34     0.2000
iprec_at_recall_0.00    Q34     0.2000
iprec_at_recall_0.10    Q34     0.0905
iprec_at_recall_0.20    Q34     0.0394
iprec_at_recall_0.30    Q34     0.0000
iprec_at_recall_0.40    Q34     0.0000
iprec_at_recall_0.50    Q34     0.0000
iprec_at_recall_0.60    Q34     0.0000
iprec_at_recall_0.70    Q34     0.0000
iprec_at_recall_0.80    Q34     0.0000
iprec_at_recall_0.90    Q34     0.0000
iprec_at_recall_1.00    Q34     0.0000
P_5                     Q34     0.2000
P_10                    Q34     0.1000
P_15                    Q34     0.1333
P_20                    Q34     0.1500
P_30                    Q34     0.1000
P_100                   Q34     0.0700
P_200                   Q34     0.0850
P_500                   Q34     0.0560
P_1000                  Q34     0.0380
num_ret                 Q35     1000
num_rel                 Q35     218
num_rel_ret             Q35     120
map                     Q35     0.1814
Rprec                   Q35     0.3073
bpref                   Q35     0.3172
recip_rank              Q35     1.0000
iprec_at_recall_0.00    Q35     1.0000
iprec_at_recall_0.10    Q35     0.4915
iprec_at_recall_0.20    Q35     0.3629
iprec_at_recall_0.30    Q35     0.3105
iprec_at_recall_0.40    Q35     0.2536
iprec_at_recall_0.50    Q35     0.1644
iprec_at_recall_0.60    Q35     0.0000
iprec_at_recall_0.70    Q35     0.0000
iprec_at_recall_0.80    Q35     0.0000
iprec_at_recall_0.90    Q35     0.0000
iprec_at_recall_1.00    Q35     0.0000
P_5                     Q35     0.6000
P_10                    Q35     0.3000
P_15                    Q35     0.3333
P_20                    Q35     0.4000
P_30                    Q35     0.4000
P_100                   Q35     0.3800
P_200                   Q35     0.3050
P_500                   Q35     0.2040
P_1000                  Q35     0.1200
num_ret                 Q36     1000
num_rel                 Q36     611
num_rel_ret             Q36     435
map                     Q36     0.5482
Rprec                   Q36     0.6023
bpref                   Q36     0.6473
recip_rank              Q36     1.0000
iprec_at_recall_0.00    Q36     1.0000
iprec_at_recall_0.10    Q36     0.9595
iprec_at_recall_0.20    Q36     0.8690
iprec_at_recall_0.30    Q36     0.8296
iprec_at_recall_0.40    Q36     0.7834
iprec_at_recall_0.50    Q36     0.6755
iprec_at_recall_0.60    Q36     0.6066
iprec_at_recall_0.70    Q36     0.4678
iprec_at_recall_0.80    Q36     0.0000
iprec_at_recall_0.90    Q36     0.0000
iprec_at_recall_1.00    Q36     0.0000
P_5                     Q36     1.0000
P_10                    Q36     1.0000
P_15                    Q36     1.0000
P_20                    Q36     1.0000
P_30                    Q36     0.9333
P_100                   Q36     0.9300
P_200                   Q36     0.8300
P_500                   Q36     0.6460
P_1000                  Q36     0.4350
num_ret                 Q37     1000
num_rel                 Q37     450
num_rel_ret             Q37     281
map                     Q37     0.4528
Rprec                   Q37     0.5089
bpref                   Q37     0.5495
recip_rank              Q37     1.0000
iprec_at_recall_0.00    Q37     1.0000
iprec_at_recall_0.10    Q37     0.9219
iprec_at_recall_0.20    Q37     0.8545
iprec_at_recall_0.30    Q37     0.8133
iprec_at_recall_0.40    Q37     0.7269
iprec_at_recall_0.50    Q37     0.5231
iprec_at_recall_0.60    Q37     0.3249
iprec_at_recall_0.70    Q37     0.0000
iprec_at_recall_0.80    Q37     0.0000
iprec_at_recall_0.90    Q37     0.0000
iprec_at_recall_1.00    Q37     0.0000
P_5                     Q37     1.0000
P_10                    Q37     1.0000
P_15                    Q37     0.8000
P_20                    Q37     0.8500
P_30                    Q37     0.9000
P_100                   Q37     0.8600
P_200                   Q37     0.7750
P_500                   Q37     0.4720
P_1000                  Q37     0.2810
num_ret                 Q38     1000
num_rel                 Q38     1266
num_rel_ret             Q38     404
map                     Q38     0.2070
Rprec                   Q38     0.3191
bpref                   Q38     0.2900
recip_rank              Q38     1.0000
iprec_at_recall_0.00    Q38     1.0000
iprec_at_recall_0.10    Q38     0.7697
iprec_at_recall_0.20    Q38     0.5199
iprec_at_recall_0.30    Q38     0.4308
iprec_at_recall_0.40    Q38     0.0000
iprec_at_recall_0.50    Q38     0.0000
iprec_at_recall_0.60    Q38     0.0000
iprec_at_recall_0.70    Q38     0.0000
iprec_at_recall_0.80    Q38     0.0000
iprec_at_recall_0.90    Q38     0.0000
iprec_at_recall_1.00    Q38     0.0000
P_5                     Q38     1.0000
P_10                    Q38     0.9000
P_15                    Q38     0.8667
P_20                    Q38     0.9000
P_30                    Q38     0.9000
P_100                   Q38     0.8200
P_200                   Q38     0.7350
P_500                   Q38     0.5180
P_1000                  Q38     0.4040
num_ret                 Q39     1000
num_rel                 Q39     860
num_rel_ret             Q39     582
map                     Q39     0.5726
Rprec                   Q39     0.6209
bpref                   Q39     0.6450
recip_rank              Q39     1.0000
iprec_at_recall_0.00    Q39     1.0000
iprec_at_recall_0.10    Q39     0.9891
iprec_at_recall_0.20    Q39     0.9459
iprec_at_recall_0.30    Q39     0.8974
iprec_at_recall_0.40    Q39     0.8429
iprec_at_recall_0.50    Q39     0.7373
iprec_at_recall_0.60    Q39     0.6507
iprec_at_recall_0.70    Q39     0.0000
iprec_at_recall_0.80    Q39     0.0000
iprec_at_recall_0.90    Q39     0.0000
iprec_at_recall_1.00    Q39     0.0000
P_5                     Q39     1.0000
P_10                    Q39     1.0000
P_15                    Q39     1.0000
P_20                    Q39     1.0000
P_30                    Q39     1.0000
P_100                   Q39     0.9800
P_200                   Q39     0.9400
P_500                   Q39     0.7840
P_1000                  Q39     0.5820
num_ret                 Q40     1000
num_rel                 Q40     556
num_rel_ret             Q40     267
map                     Q40     0.2260
Rprec                   Q40     0.3669
bpref                   Q40     0.4081
recip_rank              Q40     1.0000
iprec_at_recall_0.00    Q40     1.0000
iprec_at_recall_0.10    Q40     0.6437
iprec_at_recall_0.20    Q40     0.4871
iprec_at_recall_0.30    Q40     0.4044
iprec_at_recall_0.40    Q40     0.3477
iprec_at_recall_0.50    Q40     0.0000
iprec_at_recall_0.60    Q40     0.0000
iprec_at_recall_0.70    Q40     0.0000
iprec_at_recall_0.80    Q40     0.0000
iprec_at_recall_0.90    Q40     0.0000
iprec_at_recall_1.00    Q40     0.0000
P_5                     Q40     0.8000
P_10                    Q40     0.6000
P_15                    Q40     0.6000
P_20                    Q40     0.5500
P_30                    Q40     0.6667
P_100                   Q40     0.5700
P_200                   Q40     0.5050
P_500                   Q40     0.3840
P_1000                  Q40     0.2670
num_ret                 Q41     1000
num_rel                 Q41     311
num_rel_ret             Q41     116
map                     Q41     0.2158
Rprec                   Q41     0.2830
bpref                   Q41     0.3180
recip_rank              Q41     1.0000
iprec_at_recall_0.00    Q41     1.0000
iprec_at_recall_0.10    Q41     0.8163
iprec_at_recall_0.20    Q41     0.6154
iprec_at_recall_0.30    Q41     0.2217
iprec_at_recall_0.40    Q41     0.0000
iprec_at_recall_0.50    Q41     0.0000
iprec_at_recall_0.60    Q41     0.0000
iprec_at_recall_0.70    Q41     0.0000
iprec_at_recall_0.80    Q41     0.0000
iprec_at_recall_0.90    Q41     0.0000
iprec_at_recall_1.00    Q41     0.0000
P_5                     Q41     1.0000
P_10                    Q41     1.0000
P_15                    Q41     0.8667
P_20                    Q41     0.8000
P_30                    Q41     0.8000
P_100                   Q41     0.6000
P_200                   Q41     0.4000
P_500                   Q41     0.1940
P_1000                  Q41     0.1160
num_ret                 Q42     1000
num_rel                 Q42     243
num_rel_ret             Q42     201
map                     Q42     0.6849
Rprec                   Q42     0.6667
bpref                   Q42     0.7162
recip_rank              Q42     1.0000
iprec_at_recall_0.00    Q42     1.0000
iprec_at_recall_0.10    Q42     1.0000
iprec_at_recall_0.20    Q42     0.9857
iprec_at_recall_0.30    Q42     0.9670
iprec_at_recall_0.40    Q42     0.9083
iprec_at_recall_0.50    Q42     0.7821
iprec_at_recall_0.60    Q42     0.7136
iprec_at_recall_0.70    Q42     0.6350
iprec_at_recall_0.80    Q42     0.3686
iprec_at_recall_0.90    Q42     0.0000
iprec_at_recall_1.00    Q42     0.0000
P_5                     Q42     1.0000
P_10                    Q42     1.0000
P_15                    Q42     1.0000
P_20                    Q42     1.0000
P_30                    Q42     1.0000
P_100                   Q42     0.9400
P_200                   Q42     0.7150
P_500                   Q42     0.3880
P_1000                  Q42     0.2010
num_ret                 Q43     1000
num_rel                 Q43     253
num_rel_ret             Q43     150
map                     Q43     0.4470
Rprec                   Q43     0.5534
bpref                   Q43     0.5406
recip_rank              Q43     1.0000
iprec_at_recall_0.00    Q43     1.0000
iprec_at_recall_0.10    Q43     0.8667
iprec_at_recall_0.20    Q43     0.8333
iprec_at_recall_0.30    Q43     0.7980
iprec_at_recall_0.40    Q43     0.7612
iprec_at_recall_0.50    Q43     0.6580
iprec_at_recall_0.60    Q43     0.0000
iprec_at_recall_0.70    Q43     0.0000
iprec_at_recall_0.80    Q43     0.0000
iprec_at_recall_0.90    Q43     0.0000
iprec_at_recall_1.00    Q43     0.0000
P_5                     Q43     1.0000
P_10                    Q43     1.0000
P_15                    Q43     0.8000
P_20                    Q43     0.8500
P_30                    Q43     0.8667
P_100                   Q43     0.7900
P_200                   Q43     0.6400
P_500                   Q43     0.2920
P_1000                  Q43     0.1500
num_ret                 Q44     1000
num_rel                 Q44     483
num_rel_ret             Q44     313
map                     Q44     0.4221
Rprec                   Q44     0.5010
bpref                   Q44     0.5811
recip_rank              Q44     1.0000
iprec_at_recall_0.00    Q44     1.0000
iprec_at_recall_0.10    Q44     0.8621
iprec_at_recall_0.20    Q44     0.7305
iprec_at_recall_0.30    Q44     0.6905
iprec_at_recall_0.40    Q44     0.6198
iprec_at_recall_0.50    Q44     0.5010
iprec_at_recall_0.60    Q44     0.3954
iprec_at_recall_0.70    Q44     0.0000
iprec_at_recall_0.80    Q44     0.0000
iprec_at_recall_0.90    Q44     0.0000
iprec_at_recall_1.00    Q44     0.0000
P_5                     Q44     1.0000
P_10                    Q44     1.0000
P_15                    Q44     0.8667
P_20                    Q44     0.9000
P_30                    Q44     0.9000
P_100                   Q44     0.7300
P_200                   Q44     0.6800
P_500                   Q44     0.4880
P_1000                  Q44     0.3130
num_ret                 Q45     1000
num_rel                 Q45     806
num_rel_ret             Q45     486
map                     Q45     0.4008
Rprec                   Q45     0.5298
bpref                   Q45     0.5247
recip_rank              Q45     1.0000
iprec_at_recall_0.00    Q45     1.0000
iprec_at_recall_0.10    Q45     0.8058
iprec_at_recall_0.20    Q45     0.6783
iprec_at_recall_0.30    Q45     0.6676
iprec_at_recall_0.40    Q45     0.5971
iprec_at_recall_0.50    Q45     0.5528
iprec_at_recall_0.60    Q45     0.4914
iprec_at_recall_0.70    Q45     0.0000
iprec_at_recall_0.80    Q45     0.0000
iprec_at_recall_0.90    Q45     0.0000
iprec_at_recall_1.00    Q45     0.0000
P_5                     Q45     1.0000
P_10                    Q45     1.0000
P_15                    Q45     0.8667
P_20                    Q45     0.8500
P_30                    Q45     0.9000
P_100                   Q45     0.8000
P_200                   Q45     0.7050
P_500                   Q45     0.6020
P_1000                  Q45     0.4860
num_ret                 Q46     1000
num_rel                 Q46     182
num_rel_ret             Q46     55
map                     Q46     0.1006
Rprec                   Q46     0.2967
bpref                   Q46     0.2450
recip_rank              Q46     1.0000
iprec_at_recall_0.00    Q46     1.0000
iprec_at_recall_0.10    Q46     0.3750
iprec_at_recall_0.20    Q46     0.3284
iprec_at_recall_0.30    Q46     0.2850
iprec_at_recall_0.40    Q46     0.0000
iprec_at_recall_0.50    Q46     0.0000
iprec_at_recall_0.60    Q46     0.0000
iprec_at_recall_0.70    Q46     0.0000
iprec_at_recall_0.80    Q46     0.0000
iprec_at_recall_0.90    Q46     0.0000
iprec_at_recall_1.00    Q46     0.0000
P_5                     Q46     0.4000
P_10                    Q46     0.3000
P_15                    Q46     0.3333
P_20                    Q46     0.2500
P_30                    Q46     0.1667
P_100                   Q46     0.3200
P_200                   Q46     0.2750
P_500                   Q46     0.1100
P_1000                  Q46     0.0550
num_ret                 Q47     1000
num_rel                 Q47     420
num_rel_ret             Q47     257
map                     Q47     0.3730
Rprec                   Q47     0.4381
bpref                   Q47     0.5472
recip_rank              Q47     0.5000
iprec_at_recall_0.00    Q47     0.9444
iprec_at_recall_0.10    Q47     0.8800
iprec_at_recall_0.20    Q47     0.8077
iprec_at_recall_0.30    Q47     0.5943
iprec_at_recall_0.40    Q47     0.4928
iprec_at_recall_0.50    Q47     0.3691
iprec_at_recall_0.60    Q47     0.2625
iprec_at_recall_0.70    Q47     0.0000
iprec_at_recall_0.80    Q47     0.0000
iprec_at_recall_0.90    Q47     0.0000
iprec_at_recall_1.00    Q47     0.0000
P_5                     Q47     0.8000
P_10                    Q47     0.9000
P_15                    Q47     0.9333
P_20                    Q47     0.9000
P_30                    Q47     0.9333
P_100                   Q47     0.8200
P_200                   Q47     0.6000
P_500                   Q47     0.3980
P_1000                  Q47     0.2570
num_ret                 Q48     1000
num_rel                 Q48     444
num_rel_ret             Q48     278
map                     Q48     0.3967
Rprec                   Q48     0.4459
bpref                   Q48     0.5805
recip_rank              Q48     1.0000
iprec_at_recall_0.00    Q48     1.0000
iprec_at_recall_0.10    Q48     0.9245
iprec_at_recall_0.20    Q48     0.7479
iprec_at_recall_0.30    Q48     0.6419
iprec_at_recall_0.40    Q48     0.4972
iprec_at_recall_0.50    Q48     0.4059
iprec_at_recall_0.60    Q48     0.2893
iprec_at_recall_0.70    Q48     0.0000
iprec_at_recall_0.80    Q48     0.0000
iprec_at_recall_0.90    Q48     0.0000
iprec_at_recall_1.00    Q48     0.0000
P_5                     Q48     1.0000
P_10                    Q48     1.0000
P_15                    Q48     1.0000
P_20                    Q48     1.0000
P_30                    Q48     1.0000
P_100                   Q48     0.7600
P_200                   Q48     0.6500
P_500                   Q48     0.4280
P_1000                  Q48     0.2780
num_ret                 Q49     1000
num_rel                 Q49     247
num_rel_ret             Q49     70
map                     Q49     0.0485
Rprec                   Q49     0.1215
bpref                   Q49     0.1558
recip_rank              Q49     0.5000
iprec_at_recall_0.00    Q49     0.7500
iprec_at_recall_0.10    Q49     0.1408
iprec_at_recall_0.20    Q49     0.0905
iprec_at_recall_0.30    Q49     0.0000
iprec_at_recall_0.40    Q49     0.0000
iprec_at_recall_0.50    Q49     0.0000
iprec_at_recall_0.60    Q49     0.0000
iprec_at_recall_0.70    Q49     0.0000
iprec_at_recall_0.80    Q49     0.0000
iprec_at_recall_0.90    Q49     0.0000
iprec_at_recall_1.00    Q49     0.0000
P_5                     Q49     0.6000
P_10                    Q49     0.4000
P_15                    Q49     0.4000
P_20                    Q49     0.3000
P_30                    Q49     0.2667
P_100                   Q49     0.1900
P_200                   Q49     0.1300
P_500                   Q49     0.0940
P_1000                  Q49     0.0700
num_ret                 Q50     1000
num_rel                 Q50     137
num_rel_ret             Q50     70
map                     Q50     0.0964
Rprec                   Q50     0.1241
bpref                   Q50     0.1670
recip_rank              Q50     1.0000
iprec_at_recall_0.00    Q50     1.0000
iprec_at_recall_0.10    Q50     0.3333
iprec_at_recall_0.20    Q50     0.1228
iprec_at_recall_0.30    Q50     0.1012
iprec_at_recall_0.40    Q50     0.0758
iprec_at_recall_0.50    Q50     0.0734
iprec_at_recall_0.60    Q50     0.0000
iprec_at_recall_0.70    Q50     0.0000
iprec_at_recall_0.80    Q50     0.0000
iprec_at_recall_0.90    Q50     0.0000
iprec_at_recall_1.00    Q50     0.0000
P_5                     Q50     0.6000
P_10                    Q50     0.4000
P_15                    Q50     0.4000
P_20                    Q50     0.4000
P_30                    Q50     0.3667
P_100                   Q50     0.1600
P_200                   Q50     0.1300
P_500                   Q50     0.0900
P_1000                  Q50     0.0700
runid                   all     SearcherProject
num_q                   all     50
num_ret                 all     50000
num_rel                 all     24672
num_rel_ret             all     10189
map                     all     0.2185
gm_map                  all     0.1108
Rprec                   all     0.3068
bpref                   all     0.3539
recip_rank              all     0.8004
iprec_at_recall_0.00    all     0.8574
iprec_at_recall_0.10    all     0.5174
iprec_at_recall_0.20    all     0.4239
iprec_at_recall_0.30    all     0.3432
iprec_at_recall_0.40    all     0.2508
iprec_at_recall_0.50    all     0.1837
iprec_at_recall_0.60    all     0.1086
iprec_at_recall_0.70    all     0.0418
iprec_at_recall_0.80    all     0.0074
iprec_at_recall_0.90    all     0.0000
iprec_at_recall_1.00    all     0.0000
P_5                     all     0.6840
P_10                    all     0.6560
P_15                    all     0.6333
P_20                    all     0.6180
P_30                    all     0.6027
P_100                   all     0.4962
P_200                   all     0.4157
P_500                   all     0.2922
P_1000                  all     0.2038
