$ ./trec_eval -q qrels_covid.txt  graph.txt
P_20                    Q07     0.8000
P_30                    Q07     0.8333
P_100                   Q07     0.6000
P_200                   Q07     0.5150
P_500                   Q07     0.3820
P_1000                  Q07     0.2840
num_ret                 Q08     1000
num_rel                 Q08     632
num_rel_ret             Q08     47
map                     Q08     0.0082
Rprec                   Q08     0.0538
bpref                   Q08     0.0705
recip_rank              Q08     0.5000
iprec_at_recall_0.00    Q08     0.6667
iprec_at_recall_0.10    Q08     0.0000
iprec_at_recall_0.20    Q08     0.0000
iprec_at_recall_0.30    Q08     0.0000
iprec_at_recall_0.40    Q08     0.0000
iprec_at_recall_0.50    Q08     0.0000
iprec_at_recall_0.60    Q08     0.0000
iprec_at_recall_0.70    Q08     0.0000
iprec_at_recall_0.80    Q08     0.0000
iprec_at_recall_0.90    Q08     0.0000
iprec_at_recall_1.00    Q08     0.0000
P_5                     Q08     0.4000
P_10                    Q08     0.2000
P_15                    Q08     0.2000
P_20                    Q08     0.1500
P_30                    Q08     0.1667
P_100                   Q08     0.1100
P_200                   Q08     0.0750
P_500                   Q08     0.0640
P_1000                  Q08     0.0470
num_ret                 Q09     1000
num_rel                 Q09     191
num_rel_ret             Q09     117
map                     Q09     0.1519
Rprec                   Q09     0.2251
bpref                   Q09     0.2818
recip_rank              Q09     1.0000
iprec_at_recall_0.00    Q09     1.0000
iprec_at_recall_0.10    Q09     0.2628
iprec_at_recall_0.20    Q09     0.2512
iprec_at_recall_0.30    Q09     0.2278
iprec_at_recall_0.40    Q09     0.1778
iprec_at_recall_0.50    Q09     0.1593
iprec_at_recall_0.60    Q09     0.1189
iprec_at_recall_0.70    Q09     0.0000
iprec_at_recall_0.80    Q09     0.0000
iprec_at_recall_0.90    Q09     0.0000
iprec_at_recall_1.00    Q09     0.0000
P_5                     Q09     0.6000
P_10                    Q09     0.7000
P_15                    Q09     0.6667
P_20                    Q09     0.5000
P_30                    Q09     0.3667
P_100                   Q09     0.2500
P_200                   Q09     0.2300
P_500                   Q09     0.1680
P_1000                  Q09     0.1170
num_ret                 Q10     1000
num_rel                 Q10     475
num_rel_ret             Q10     258
map                     Q10     0.2395
Rprec                   Q10     0.3726
bpref                   Q10     0.4638
recip_rank              Q10     1.0000
iprec_at_recall_0.00    Q10     1.0000
iprec_at_recall_0.10    Q10     0.5455
iprec_at_recall_0.20    Q10     0.4681
iprec_at_recall_0.30    Q10     0.4324
iprec_at_recall_0.40    Q10     0.3517
iprec_at_recall_0.50    Q10     0.2861
iprec_at_recall_0.60    Q10     0.0000
iprec_at_recall_0.70    Q10     0.0000
iprec_at_recall_0.80    Q10     0.0000
iprec_at_recall_0.90    Q10     0.0000
iprec_at_recall_1.00    Q10     0.0000
P_5                     Q10     0.6000
P_10                    Q10     0.6000
P_15                    Q10     0.6667
P_20                    Q10     0.6000
P_30                    Q10     0.6333
P_100                   Q10     0.5400
P_200                   Q10     0.4600
P_500                   Q10     0.3680
P_1000                  Q10     0.2580
num_ret                 Q11     1000
num_rel                 Q11     415
num_rel_ret             Q11     29
map                     Q11     0.0058
Rprec                   Q11     0.0386
bpref                   Q11     0.0615
recip_rank              Q11     0.2000
iprec_at_recall_0.00    Q11     0.3333
iprec_at_recall_0.10    Q11     0.0000
iprec_at_recall_0.20    Q11     0.0000
iprec_at_recall_0.30    Q11     0.0000
iprec_at_recall_0.40    Q11     0.0000
iprec_at_recall_0.50    Q11     0.0000
iprec_at_recall_0.60    Q11     0.0000
iprec_at_recall_0.70    Q11     0.0000
iprec_at_recall_0.80    Q11     0.0000
iprec_at_recall_0.90    Q11     0.0000
iprec_at_recall_1.00    Q11     0.0000
P_5                     Q11     0.2000
P_10                    Q11     0.2000
P_15                    Q11     0.1333
P_20                    Q11     0.1000
P_30                    Q11     0.1000
P_100                   Q11     0.1000
P_200                   Q11     0.0700
P_500                   Q11     0.0340
P_1000                  Q11     0.0290
num_ret                 Q12     1000
num_rel                 Q12     616
num_rel_ret             Q12     192
map                     Q12     0.0975
Rprec                   Q12     0.2581
bpref                   Q12     0.2562
recip_rank              Q12     0.3333
iprec_at_recall_0.00    Q12     0.5000
iprec_at_recall_0.10    Q12     0.3539
iprec_at_recall_0.20    Q12     0.3010
iprec_at_recall_0.30    Q12     0.2009
iprec_at_recall_0.40    Q12     0.0000
iprec_at_recall_0.50    Q12     0.0000
iprec_at_recall_0.60    Q12     0.0000
iprec_at_recall_0.70    Q12     0.0000
iprec_at_recall_0.80    Q12     0.0000
iprec_at_recall_0.90    Q12     0.0000
iprec_at_recall_1.00    Q12     0.0000
P_5                     Q12     0.4000
P_10                    Q12     0.2000
P_15                    Q12     0.2667
P_20                    Q12     0.3000
P_30                    Q12     0.3333
P_100                   Q12     0.3700
P_200                   Q12     0.3400
P_500                   Q12     0.2740
P_1000                  Q12     0.1920
num_ret                 Q13     1000
num_rel                 Q13     867
num_rel_ret             Q13     57
map                     Q13     0.0087
Rprec                   Q13     0.0588
bpref                   Q13     0.0631
recip_rank              Q13     0.2000
iprec_at_recall_0.00    Q13     0.3704
iprec_at_recall_0.10    Q13     0.0000
iprec_at_recall_0.20    Q13     0.0000
iprec_at_recall_0.30    Q13     0.0000
iprec_at_recall_0.40    Q13     0.0000
iprec_at_recall_0.50    Q13     0.0000
iprec_at_recall_0.60    Q13     0.0000
iprec_at_recall_0.70    Q13     0.0000
iprec_at_recall_0.80    Q13     0.0000
iprec_at_recall_0.90    Q13     0.0000
iprec_at_recall_1.00    Q13     0.0000
P_5                     Q13     0.2000
P_10                    Q13     0.3000
P_15                    Q13     0.2667
P_20                    Q13     0.2500
P_30                    Q13     0.3333
P_100                   Q13     0.1400
P_200                   Q13     0.1100
P_500                   Q13     0.0680
P_1000                  Q13     0.0570
num_ret                 Q14     1000
num_rel                 Q14     255
num_rel_ret             Q14     90
map                     Q14     0.2437
Rprec                   Q14     0.3373
bpref                   Q14     0.3110
recip_rank              Q14     1.0000
iprec_at_recall_0.00    Q14     1.0000
iprec_at_recall_0.10    Q14     0.8250
iprec_at_recall_0.20    Q14     0.7500
iprec_at_recall_0.30    Q14     0.4639
iprec_at_recall_0.40    Q14     0.0000
iprec_at_recall_0.50    Q14     0.0000
iprec_at_recall_0.60    Q14     0.0000
iprec_at_recall_0.70    Q14     0.0000
iprec_at_recall_0.80    Q14     0.0000
iprec_at_recall_0.90    Q14     0.0000
iprec_at_recall_1.00    Q14     0.0000
P_5                     Q14     1.0000
P_10                    Q14     0.9000
P_15                    Q14     0.8000
P_20                    Q14     0.8000
P_30                    Q14     0.7667
P_100                   Q14     0.5800
P_200                   Q14     0.4050
P_500                   Q14     0.1800
P_1000                  Q14     0.0900
num_ret                 Q15     1000
num_rel                 Q15     423
num_rel_ret             Q15     27
map                     Q15     0.0090
Rprec                   Q15     0.0307
bpref                   Q15     0.0439
recip_rank              Q15     1.0000
iprec_at_recall_0.00    Q15     1.0000
iprec_at_recall_0.10    Q15     0.0000
iprec_at_recall_0.20    Q15     0.0000
iprec_at_recall_0.30    Q15     0.0000
iprec_at_recall_0.40    Q15     0.0000
iprec_at_recall_0.50    Q15     0.0000
iprec_at_recall_0.60    Q15     0.0000
iprec_at_recall_0.70    Q15     0.0000
iprec_at_recall_0.80    Q15     0.0000
iprec_at_recall_0.90    Q15     0.0000
iprec_at_recall_1.00    Q15     0.0000
P_5                     Q15     0.6000
P_10                    Q15     0.3000
P_15                    Q15     0.2000
P_20                    Q15     0.2000
P_30                    Q15     0.1333
P_100                   Q15     0.0700
P_200                   Q15     0.0600
P_500                   Q15     0.0300
P_1000                  Q15     0.0270
num_ret                 Q16     1000
num_rel                 Q16     387
num_rel_ret             Q16     84
map                     Q16     0.0456
Rprec                   Q16     0.1059
bpref                   Q16     0.1706
recip_rank              Q16     1.0000
iprec_at_recall_0.00    Q16     1.0000
iprec_at_recall_0.10    Q16     0.1079
iprec_at_recall_0.20    Q16     0.0848
iprec_at_recall_0.30    Q16     0.0000
iprec_at_recall_0.40    Q16     0.0000
iprec_at_recall_0.50    Q16     0.0000
iprec_at_recall_0.60    Q16     0.0000
iprec_at_recall_0.70    Q16     0.0000
iprec_at_recall_0.80    Q16     0.0000
iprec_at_recall_0.90    Q16     0.0000
iprec_at_recall_1.00    Q16     0.0000
P_5                     Q16     0.8000
P_10                    Q16     0.5000
P_15                    Q16     0.4000
P_20                    Q16     0.4000
P_30                    Q16     0.4000
P_100                   Q16     0.2600
P_200                   Q16     0.1400
P_500                   Q16     0.1000
P_1000                  Q16     0.0840
num_ret                 Q17     1000
num_rel                 Q17     668
num_rel_ret             Q17     316
map                     Q17     0.2549
Rprec                   Q17     0.4012
bpref                   Q17     0.4367
recip_rank              Q17     1.0000
iprec_at_recall_0.00    Q17     1.0000
iprec_at_recall_0.10    Q17     0.6700
iprec_at_recall_0.20    Q17     0.6164
iprec_at_recall_0.30    Q17     0.4902
iprec_at_recall_0.40    Q17     0.4018
iprec_at_recall_0.50    Q17     0.0000
iprec_at_recall_0.60    Q17     0.0000
iprec_at_recall_0.70    Q17     0.0000
iprec_at_recall_0.80    Q17     0.0000
iprec_at_recall_0.90    Q17     0.0000
iprec_at_recall_1.00    Q17     0.0000
P_5                     Q17     0.8000
P_10                    Q17     0.7000
P_15                    Q17     0.8000
P_20                    Q17     0.8000
